clase,ejecucion,tiempo_ms,memoria_kb
VolumenCubo,5,70,56824
VolumenCubo,6,50,55000
VolumenCubo,7,70,56312
VolumenCubo,8,50,53496
VolumenCubo,9,70,53492
VolumenCubo,10,50,53464
VolumenCubo,11,70,55028
VolumenCubo,12,60,56440
VolumenCubo,13,50,56312
VolumenCubo,14,70,53636
VolumenCubo,15,60,53624
VolumenCubo,16,70,53880
VolumenCubo,17,50,55032
VolumenCubo,18,60,55000
VolumenCubo,19,50,55288
VolumenCubo,20,60,53232
VolumenCubo,21,70,56568
VolumenCubo,22,70,53884
VolumenCubo,23,60,56408
VolumenCubo,24,70,55160
VolumenCubo,25,50,53592
VolumenCubo,26,70,56432
VolumenCubo,27,60,56408
VolumenCubo,28,80,56184
VolumenCubo,29,60,56440
VolumenCubo,30,60,55416
VolumenCubo,31,60,56312
VolumenCubo,32,70,53616
VolumenCubo,33,60,56184
VolumenCubo,34,70,55544
VolumenCubo,35,50,53868
VolumenCubo,36,70,56952
VolumenCubo,37,60,56280
VolumenCubo,38,70,55256
VolumenCubo,39,50,55128
VolumenCubo,40,70,53756
VolumenCubo,41,50,54008
VolumenCubo,42,70,53764
VolumenCubo,43,50,55172
VolumenCubo,44,70,56432
VolumenCubo,45,60,53496
VolumenCubo,46,70,55288
VolumenCubo,47,50,54016
VolumenCubo,48,70,56440
VolumenCubo,49,50,55404
VolumenCubo,50,70,55384
VolumenCubo,51,50,55548
VolumenCubo,52,70,56564
VolumenCubo,53,50,56952
VolumenCubo,54,70,53468
VolumenCubo,55,50,53504
VolumenCubo,56,60,53244
VolumenCubo,57,60,53884
VolumenCubo,58,50,55160
VolumenCubo,59,60,53492
VolumenCubo,60,70,56196
VolumenCubo,61,60,56664
VolumenCubo,62,70,56568
VolumenCubo,63,50,53748
VolumenCubo,64,70,56432
VolumenCubo,65,60,56940
VolumenCubo,66,70,56560
VolumenCubo,67,50,55128
VolumenCubo,68,70,56676
VolumenCubo,69,60,56568
VolumenCubo,70,70,56828
VolumenCubo,71,70,56432
VolumenCubo,72,70,56536
VolumenCubo,73,50,53368
VolumenCubo,74,70,56432
VolumenCubo,75,50,56304
VolumenCubo,76,70,55420
VolumenCubo,77,50,56176
VolumenCubo,78,70,55128
VolumenCubo,79,60,56700
VolumenCubo,80,70,56428
VolumenCubo,81,60,56568
VolumenCubo,82,70,56824
VolumenCubo,83,60,53624
VolumenCubo,84,70,54904
VolumenCubo,85,50,53636
VolumenCubo,86,70,54000
VolumenCubo,87,50,55160
VolumenCubo,88,70,56312
VolumenCubo,89,70,56320
VolumenCubo,90,70,56432
VolumenCubo,91,70,56184
VolumenCubo,92,70,56696
VolumenCubo,93,70,56568
VolumenCubo,94,70,53232
VolumenCubo,95,50,53336
VolumenCubo,96,60,56440
VolumenCubo,97,50,55536
VolumenCubo,98,50,55288
VolumenCubo,99,70,53592
VolumenCubo,100,50,56664
PotenciaRaiz,1,70,58308
PotenciaRaiz,2,60,58744
PotenciaRaiz,3,70,58616
PotenciaRaiz,4,60,59480
PotenciaRaiz,5,80,59736
PotenciaRaiz,6,60,58620
PotenciaRaiz,7,70,58616
PotenciaRaiz,8,60,59992
PotenciaRaiz,9,80,59128
PotenciaRaiz,10,60,59248
PotenciaRaiz,11,70,59512
PotenciaRaiz,12,60,58232
PotenciaRaiz,13,70,59376
PotenciaRaiz,14,70,58840
PotenciaRaiz,15,70,57964
PotenciaRaiz,16,60,58104
PotenciaRaiz,17,70,59116
PotenciaRaiz,18,60,57720
PotenciaRaiz,19,70,58232
PotenciaRaiz,20,60,58232
PotenciaRaiz,21,80,59768
PotenciaRaiz,22,60,58232
PotenciaRaiz,23,80,58360
PotenciaRaiz,24,60,57816
PotenciaRaiz,25,90,59640
PotenciaRaiz,26,60,59756
PotenciaRaiz,27,70,59512
PotenciaRaiz,28,70,59128
PotenciaRaiz,29,80,59392
PotenciaRaiz,30,70,58732
PotenciaRaiz,31,80,58448
PotenciaRaiz,32,70,58604
PotenciaRaiz,33,70,59640
PotenciaRaiz,34,60,58328
PotenciaRaiz,35,70,59268
PotenciaRaiz,36,60,59768
PotenciaRaiz,37,70,59224
PotenciaRaiz,38,70,58200
PotenciaRaiz,39,80,59368
PotenciaRaiz,40,60,59768
PotenciaRaiz,41,70,58360
PotenciaRaiz,42,60,58744
PotenciaRaiz,43,80,59772
PotenciaRaiz,44,60,57848
PotenciaRaiz,45,70,58488
PotenciaRaiz,46,60,59392
PotenciaRaiz,47,80,59608
PotenciaRaiz,48,60,58104
PotenciaRaiz,49,90,58884
PotenciaRaiz,50,60,58092
PotenciaRaiz,51,70,58232
PotenciaRaiz,52,60,58104
PotenciaRaiz,53,80,59224
PotenciaRaiz,54,60,58352
PotenciaRaiz,55,70,60012
PotenciaRaiz,56,60,59864
PotenciaRaiz,57,70,58208
PotenciaRaiz,58,60,59128
PotenciaRaiz,59,70,59372
PotenciaRaiz,60,60,58488
PotenciaRaiz,61,70,58864
PotenciaRaiz,62,60,58620
PotenciaRaiz,63,80,59384
PotenciaRaiz,64,60,59512
PotenciaRaiz,65,80,59480
PotenciaRaiz,66,60,58372
PotenciaRaiz,67,80,59864
PotenciaRaiz,68,70,57716
PotenciaRaiz,69,80,59504
PotenciaRaiz,70,60,59376
PotenciaRaiz,71,70,57976
PotenciaRaiz,72,60,58712
PotenciaRaiz,73,70,58072
PotenciaRaiz,74,60,60024
PotenciaRaiz,75,70,58616
PotenciaRaiz,76,60,58476
PotenciaRaiz,77,80,58220
PotenciaRaiz,78,60,58744
PotenciaRaiz,79,70,58324
PotenciaRaiz,80,60,58584
PotenciaRaiz,81,70,59764
PotenciaRaiz,82,80,59480
PotenciaRaiz,83,60,59480
PotenciaRaiz,84,70,58348
PotenciaRaiz,85,60,59992
PotenciaRaiz,86,90,58488
PotenciaRaiz,87,60,58236
PotenciaRaiz,88,70,57592
PotenciaRaiz,89,70,58456
PotenciaRaiz,90,60,59008
PotenciaRaiz,91,70,57972
PotenciaRaiz,92,60,58072
PotenciaRaiz,93,70,59896
PotenciaRaiz,94,60,59900
PotenciaRaiz,95,80,59736
PotenciaRaiz,96,60,59264
PotenciaRaiz,97,80,59352
PotenciaRaiz,98,60,59736
PotenciaRaiz,99,70,58364
PotenciaRaiz,100,70,60400
OrdenarArray,1,60,53752
OrdenarArray,2,50,40940
OrdenarArray,3,70,56448
OrdenarArray,4,50,53848
OrdenarArray,5,70,56920
OrdenarArray,6,70,55928
OrdenarArray,7,70,56556
OrdenarArray,8,50,56792
OrdenarArray,9,70,53880
OrdenarArray,10,50,56664
OrdenarArray,11,70,54000
OrdenarArray,12,60,56664
OrdenarArray,13,70,53616
OrdenarArray,14,50,40952
OrdenarArray,15,70,56316
OrdenarArray,16,50,53592
OrdenarArray,17,70,56564
OrdenarArray,18,70,56280
OrdenarArray,19,70,53720
OrdenarArray,20,70,56580
OrdenarArray,21,70,53976
OrdenarArray,22,60,56696
OrdenarArray,23,70,56664
OrdenarArray,24,50,53760
OrdenarArray,25,80,56324
OrdenarArray,26,50,53744
OrdenarArray,27,70,56688
OrdenarArray,28,50,53752
OrdenarArray,29,80,56056
