className,run,durationMs,cpuSamples,heapUsedMB,gcCount,gcPauseMs,topMethod
Code.Java.Abacus.v1.Refactored.NumeroPrimo,021,0,0,0,0,0,N/A
Code.Java.Abacus.v1.Refactored.NumeroPrimo,013,9,0,0,0,0,N/A
Code.Java.Abacus.v1.Refactored.NumeroPrimo,094,1,0,0,0,0,N/A
Code.Java.Abacus.v1.Refactored.MediaArmonica,058,1,0,0,0,0,N/A
Code.Java.Abacus.v1.Refactored.MediaArmonica,065,1,0,0,0,0,N/A
Code.Java.Abacus.v1.Refactored.MediaArmonica,050,1,0,0,0,0,N/A
Code.Java.Abacus.v1.Refactored.MediaArmonica,003,1,0,0,0,0,N/A
Code.Java.Abacus.v1.Refactored.MediaArmonica,098,0,0,0,0,0,N/A
Code.Java.Abacus.v1.Refactored.MediaArmonica,082,0,0,0,0,0,N/A
Code.Java.Abacus.v1.Refactored.MediaArmonica,052,9,0,0,0,0,N/A
Code.Java.Abacus.v1.Refactored.MediaArmonica,080,0,0,0,0,0,N/A
Code.Java.Abacus.v1.Refactored.MediaArmonica,088,0,1,0,0,0,java.lang.invoke.DirectMethodHandle.make
Code.Java.Abacus.v1.Refactored.MediaArmonica,096,1,0,0,0,0,N/A
Code.Java.Abacus.v1.Refactored.MediaArmonica,060,6,0,0,0,0,N/A
Code.Java.Abacus.v1.Refactored.MediaArmonica,014,0,0,0,0,0,N/A
Code.Java.Abacus.v1.Refactored.MediaArmonica,001,3,0,0,0,0,N/A
Code.Java.Abacus.v1.Refactored.MediaArmonica,026,1,0,0,0,0,N/A
Code.Java.Abacus.v1.Refactored.MediaArmonica,071,0,0,0,0,0,N/A
Code.Java.Abacus.v1.Refactored.MediaArmonica,012,0,0,0,0,0,N/A
Code.Java.Abacus.v1.Refactored.MediaArmonica,056,0,0,0,0,0,N/A
Code.Java.Abacus.v1.Refactored.MediaArmonica,051,0,0,0,0,0,N/A
Code.Java.Abacus.v1.Refactored.MediaArmonica,016,7,0,0,0,0,N/A
Code.Java.Abacus.v1.Refactored.MediaArmonica,090,0,0,0,0,0,N/A
Code.Java.Abacus.v1.Refactored.MediaArmonica,030,1,0,0,0,0,N/A
Code.Java.Abacus.v1.Refactored.MediaArmonica,009,11,0,0,0,0,N/A
Code.Java.Abacus.v1.Refactored.MediaArmonica,044,0,0,0,0,0,N/A
Code.Java.Abacus.v1.Refactored.MediaArmonica,061,8,0,0,0,0,N/A
Code.Java.Abacus.v1.Refactored.MediaArmonica,017,0,0,0,0,0,N/A
Code.Java.Abacus.v1.Refactored.MediaArmonica,064,1,0,0,0,0,N/A
Code.Java.Abacus.v1.Refactored.MediaArmonica,086,0,0,0,0,0,N/A
Code.Java.Abacus.v1.Refactored.MediaArmonica,085,0,0,0,0,0,N/A
Code.Java.Abacus.v1.Refactored.MediaArmonica,038,1,0,0,0,0,N/A
Code.Java.Abacus.v1.Refactored.MediaArmonica,028,0,0,0,0,0,N/A
Code.Java.Abacus.v1.Refactored.MediaArmonica,070,0,0,0,0,0,N/A
Code.Java.Abacus.v1.Refactored.MediaArmonica,100,12,1,0,0,0,java.lang.Long.parseLong
Code.Java.Abacus.v1.Refactored.MediaArmonica,067,0,0,0,0,0,N/A
Code.Java.Abacus.v1.Refactored.MediaArmonica,025,1,1,0,0,0,java.lang.invoke.InnerClassLambdaMetafactory.generateInnerClass
Code.Java.Abacus.v1.Refactored.MediaArmonica,083,6,0,0,0,0,N/A
Code.Java.Abacus.v1.Refactored.MediaArmonica,053,1,0,0,0,0,N/A
Code.Java.Abacus.v1.Refactored.MediaArmonica,024,0,0,0,0,0,N/A
Code.Java.Abacus.v1.Refactored.MediaArmonica,033,8,0,0,0,0,N/A
Code.Java.Abacus.v1.Refactored.MediaArmonica,018,13,1,0,0,0,java.lang.Thread.run
Code.Java.Abacus.v1.Refactored.MediaArmonica,019,1,0,0,0,0,N/A
Code.Java.Abacus.v1.Refactored.MediaArmonica,032,0,0,0,0,0,N/A
Code.Java.Abacus.v1.Refactored.MediaArmonica,097,1,0,0,0,0,N/A
Code.Java.Abacus.v1.Refactored.MediaArmonica,068,1,0,0,0,0,N/A
