class_name,runs,avg_time_ms,median_time_ms,min_time_ms,max_time_ms,stddev_ms,avg_heap_delta_mb,avg_gc_cycles,success_rate_pct
FuncionCoseno,1000,21.72,23.00,19.00,33.00,1.11,4.91,0.00,100.0
FuncionSeno,1000,21.71,24.00,19.00,30.00,1.06,4.91,0.00,100.0
FuncionTangente,1000,21.76,22.00,19.00,31.00,1.14,4.91,0.00,100.0
Hipotenusa,1000,23.36,22.00,21.00,32.00,1.18,4.91,0.00,100.0
InteresCompuesto,1000,23.30,25.00,21.00,31.00,1.16,4.91,0.00,100.0
InteresSimple,1000,23.37,26.00,21.00,32.00,1.15,4.91,0.00,100.0
InvertirNumero,1000,23.41,24.00,21.00,32.00,1.27,4.91,0.00,100.0
LeyOhm,1000,23.69,24.00,21.00,34.00,1.21,4.91,0.00,100.0
MaximoArray,1000,23.39,23.00,21.00,36.00,1.25,4.91,0.00,100.0
MCDEuclides,1000,23.40,23.00,21.00,31.00,1.17,4.91,0.00,100.0
MCM,1000,23.55,23.00,20.00,33.00,1.49,4.91,0.00,100.0
MediaArmonica,1000,23.47,23.00,21.00,37.00,1.45,4.91,0.00,100.0
MediaGeometrica,1000,23.45,23.00,21.00,36.00,1.41,4.91,0.00,100.0
Mediana,1000,23.59,26.00,20.00,33.00,1.27,4.91,0.00,100.0
MediaPonderada,1000,23.39,23.00,21.00,34.00,1.23,4.91,0.00,100.0
MinimoArray,1000,23.48,25.00,21.00,35.00,1.28,4.91,0.00,100.0
Moda,1000,23.44,24.00,20.00,32.00,1.22,4.91,0.00,100.0
MultiplicacionNumeros,1000,27.77,25.00,25.00,42.00,1.64,4.91,0.00,100.0
NumeroAleatorio,1000,27.92,27.00,25.00,38.00,1.44,4.91,0.00,100.0
NumeroArmstrong,1000,25.29,27.00,22.00,37.00,1.36,4.91,0.00,100.0
NumeroMayor,1000,23.45,23.00,21.00,35.00,1.35,4.91,0.00,100.0
NumeroMenor,1000,23.43,23.00,21.00,32.00,1.15,4.91,0.00,100.0
NumeroPalindromo,1000,25.34,25.00,22.00,35.00,1.37,4.91,0.00,100.0
NumeroParImpar,1000,23.78,24.00,21.00,34.00,1.28,4.91,0.00,100.0
NumeroPerfecto,1000,25.28,26.00,23.00,36.00,1.35,4.91,0.00,100.0
NumeroPositivoNegativo,1000,23.77,22.00,21.00,33.00,1.18,4.91,0.00,100.0
NumeroPrimo,1000,25.38,26.00,23.00,39.00,1.39,4.91,0.00,100.0
PendienteRecta,1000,23.39,24.00,21.00,34.00,1.33,4.91,0.00,100.0
Percentil,1000,26.37,27.00,23.00,36.00,1.45,4.91,0.00,100.0
PerimetroCuadrado,1000,23.34,23.00,20.00,32.00,1.17,4.91,0.00,100.0
PerimetroRectangulo,1000,23.36,23.00,21.00,34.00,1.20,4.91,0.00,100.0
Porcentaje,1000,25.97,26.00,23.00,39.00,1.45,4.91,0.00,100.0
Potencia,1000,23.62,23.00,21.00,34.00,1.20,4.91,0.00,100.0
PotenciaRaiz,1000,28.47,29.00,25.00,41.00,1.51,4.91,0.00,100.0
Presion,1000,23.70,23.00,21.00,36.00,1.29,4.91,0.00,100.0
PromedioArray,1000,23.44,23.00,21.00,36.00,1.28,4.91,0.00,100.0
PromedioNumeros,1000,23.39,23.00,21.00,31.00,1.15,4.91,0.00,100.0
PuntoMedio,1000,22.11,22.00,20.00,29.00,1.11,4.91,0.00,100.0
RangoEstadistico,1000,23.39,23.00,21.00,33.00,1.28,4.91,0.00,100.0
RedondeoNumero,1000,26.21,26.00,23.00,39.00,1.34,4.91,0.00,100.0
RestaNumeros,1000,25.94,25.00,23.00,35.00,1.43,4.91,0.00,100.0
SegundosAHoras,1000,28.43,28.00,25.00,41.00,1.54,4.91,0.00,100.0
Serie Fibonacci: 0 1 1 2 3 5 8 13 21 34SerieFibonacci,1000,27.31,27.00,24.00,41.00,1.43,4.91,0.00,100.0
SumaArray,1000,23.46,23.00,21.00,35.00,1.34,4.91,0.00,100.0
SumaDigitos,1000,23.43,24.00,21.00,35.00,1.14,4.91,0.00,100.0
SumaImpares,1000,25.08,26.00,22.00,34.00,1.28,4.91,0.00,100.0
SumaMatrices,1000,23.83,22.00,21.00,33.00,1.23,4.91,0.00,100.0
SumaNumeros,1000,27.85,27.00,24.00,42.00,1.57,4.91,0.00,100.0
SumaPares,1000,25.08,24.00,22.00,35.00,1.31,4.91,0.00,100.0
SumaPrimeroN,1000,25.14,26.00,22.00,34.00,1.34,4.91,0.00,100.0
TablasMultiplicar,1000,30.20,29.00,27.00,47.00,1.72,4.91,0.00,100.0
Trabajo,1000,23.67,23.00,21.00,33.00,1.15,4.91,0.00,100.0
TransponerMatriz,1000,23.99,25.00,21.00,35.00,1.23,4.91,0.00,100.0
ValorAbsoluto,1000,25.14,25.00,22.00,39.00,1.34,4.91,0.00,100.0
Varianza,1000,23.36,23.00,21.00,32.00,1.20,4.91,0.00,100.0
VelocidadFinal,1000,23.75,24.00,21.00,36.00,1.33,4.91,0.00,100.0
VolumenCilindro,1000,23.39,23.00,21.00,34.00,1.28,4.91,0.00,100.0
VolumenCono,1000,23.39,23.00,21.00,34.00,1.23,4.91,0.00,100.0
VolumenCubo,1000,23.45,25.00,21.00,33.00,1.22,4.91,0.00,100.0
VolumenEsfera,1000,23.38,24.00,21.00,35.00,1.23,4.91,0.00,100.0
