file,class,method,constructor,line,cbo,cboModified,fanin,fanout,wmc,rfc,loc,returnsQty,variablesQty,parametersQty,methodsInvokedQty,methodsInvokedLocalQty,methodsInvokedIndirectLocalQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty,hasJavaDoc
/Users/jantoniorv/jantromv/DCICodeXperiments/./Code/Java/Abacus/v1/Refactored/InvertirNumero.java,Code.Java.Abacus.v1.Refactored.InvertirNumero,main/1[java.lang.String[]],false,9,0,0,0,0,2,1,9,0,2,1,1,0,0,1,1,0,0,1,6,4,4,1,0,0,0,4,9,0,false
/Users/jantoniorv/jantromv/DCICodeXperiments/./Code/Java/Abacus/v1/Refactored/Fuerza.java,Code.Java.Abacus.v1.Refactored.Fuerza,main/1[java.lang.String[]],false,9,0,0,0,0,1,1,6,0,3,1,1,0,0,0,0,0,0,2,2,3,2,0,0,0,0,5,9,0,false
/Users/jantoniorv/jantromv/DCICodeXperiments/./Code/Java/Abacus/v1/Refactored/SerieFibonacci.java,Code.Java.Abacus.v1.Refactored.SerieFibonacci,main/1[java.lang.String[]],false,9,0,0,0,0,2,1,11,0,5,1,1,0,0,1,0,0,0,3,4,7,3,1,0,0,0,7,9,0,false
/Users/jantoniorv/jantromv/DCICodeXperiments/./Code/Java/Abacus/v1/Refactored/EnergiaKinetica.java,Code.Java.Abacus.v1.Refactored.EnergiaKinetica,main/1[java.lang.String[]],false,9,0,0,0,0,1,1,6,0,3,1,1,0,0,0,0,0,0,2,3,3,2,0,0,0,0,5,9,0,false
/Users/jantoniorv/jantromv/DCICodeXperiments/./Code/Java/Abacus/v1/Refactored/VolumenEsfera.java,Code.Java.Abacus.v1.Refactored.VolumenEsfera,calcular/1[double],false,14,0,1,1,0,2,1,6,1,0,1,1,0,0,0,0,0,1,1,4,0,2,1,0,0,0,17,9,0,true
/Users/jantoniorv/jantromv/DCICodeXperiments/./Code/Java/Abacus/v1/Refactored/VolumenEsfera.java,Code.Java.Abacus.v1.Refactored.VolumenEsfera,main/1[java.lang.String[]],false,21,1,1,0,1,1,3,5,0,2,1,3,1,1,0,0,0,0,1,1,2,0,0,0,0,0,7,9,0,false
/Users/jantoniorv/jantromv/DCICodeXperiments/./Code/Java/Abacus/v1/Refactored/NumeroPositivoNegativo.java,Code.Java.Abacus.v1.Refactored.NumeroPositivoNegativo,main/1[java.lang.String[]],false,9,0,0,0,0,3,1,12,0,1,1,1,0,0,0,0,0,0,3,3,1,2,1,0,0,0,4,9,0,false
/Users/jantoniorv/jantromv/DCICodeXperiments/./Code/Java/Abacus/v1/Refactored/BuscarElemento.java,Code.Java.Abacus.v1.Refactored.BuscarElemento,"buscar/2[int[],int]",false,14,1,1,1,0,4,0,11,2,1,2,0,0,0,1,2,0,0,1,2,1,0,2,0,0,0,26,9,0,true
/Users/jantoniorv/jantromv/DCICodeXperiments/./Code/Java/Abacus/v1/Refactored/BuscarElemento.java,Code.Java.Abacus.v1.Refactored.BuscarElemento,main/1[java.lang.String[]],false,27,2,1,0,1,2,2,11,0,3,1,2,1,1,0,1,0,0,2,7,3,2,1,0,0,0,9,9,0,false
/Users/jantoniorv/jantromv/DCICodeXperiments/./Code/Java/Abacus/v1/Refactored/MCM.java,Code.Java.Abacus.v1.Refactored.MCM,"calcular/2[int,int]",false,29,1,2,1,1,3,2,8,2,0,2,2,1,1,0,2,0,1,0,3,2,2,1,0,0,0,14,9,0,true
/Users/jantoniorv/jantromv/DCICodeXperiments/./Code/Java/Abacus/v1/Refactored/MCM.java,Code.Java.Abacus.v1.Refactored.MCM,"calcularMCD/2[int,int]",false,14,0,1,1,0,2,0,8,1,1,2,0,0,0,1,1,0,0,0,1,3,1,1,0,0,0,14,10,0,true
/Users/jantoniorv/jantromv/DCICodeXperiments/./Code/Java/Abacus/v1/Refactored/MCM.java,Code.Java.Abacus.v1.Refactored.MCM,main/1[java.lang.String[]],false,40,1,1,0,1,1,3,5,0,3,1,3,1,2,0,0,0,0,1,2,3,0,0,0,0,0,8,9,0,false
/Users/jantoniorv/jantromv/DCICodeXperiments/./Code/Java/Abacus/v1/Refactored/FuncionCoseno.java,Code.Java.Abacus.v1.Refactored.FuncionCoseno,calcular/1[double],false,13,0,1,1,0,1,2,4,1,1,1,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,13,9,0,true
/Users/jantoniorv/jantromv/DCICodeXperiments/./Code/Java/Abacus/v1/Refactored/FuncionCoseno.java,Code.Java.Abacus.v1.Refactored.FuncionCoseno,main/1[java.lang.String[]],false,18,1,1,0,1,1,3,5,0,2,1,3,1,1,0,0,0,0,1,1,2,0,0,0,0,0,6,9,0,false
/Users/jantoniorv/jantromv/DCICodeXperiments/./Code/Java/Abacus/v1/Refactored/DiasAAnios.java,Code.Java.Abacus.v1.Refactored.DiasAAnios$Periodo,"Periodo/2[int,int]",true,17,0,1,1,0,1,0,4,0,0,2,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,3,1,0,false
/Users/jantoniorv/jantromv/DCICodeXperiments/./Code/Java/Abacus/v1/Refactored/DiasAAnios.java,Code.Java.Abacus.v1.Refactored.DiasAAnios$Periodo,toString/0,false,23,0,0,0,0,1,1,3,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,3,1,0,false
/Users/jantoniorv/jantromv/DCICodeXperiments/./Code/Java/Abacus/v1/Refactored/NumeroPalindromo.java,Code.Java.Abacus.v1.Refactored.NumeroPalindromo,esPalindromo/1[int],false,13,0,1,1,0,3,1,10,1,3,1,1,0,0,1,2,0,0,0,5,5,3,1,0,0,0,16,9,0,true
/Users/jantoniorv/jantromv/DCICodeXperiments/./Code/Java/Abacus/v1/Refactored/NumeroPalindromo.java,Code.Java.Abacus.v1.Refactored.NumeroPalindromo,main/1[java.lang.String[]],false,26,1,1,0,1,2,3,5,0,2,1,3,1,1,0,0,0,0,3,1,2,0,0,0,0,0,6,9,0,false
/Users/jantoniorv/jantromv/DCICodeXperiments/./Code/Java/Abacus/v1/Refactored/ConversionFahrenheitCelsius.java,Code.Java.Abacus.v1.Refactored.ConversionFahrenheitCelsius,main/1[java.lang.String[]],false,9,0,0,0,0,1,1,5,0,2,1,1,0,0,0,0,0,1,2,4,2,4,0,0,0,0,4,9,0,false
/Users/jantoniorv/jantromv/DCICodeXperiments/./Code/Java/Abacus/v1/Refactored/FactorialNumero.java,Code.Java.Abacus.v1.Refactored.FactorialNumero,calcularFactorial/1[int],false,14,0,1,1,0,3,0,10,1,2,1,0,0,0,1,0,0,0,1,3,3,0,1,0,0,0,22,9,0,true
